id,name,linkedin_url,website,industry,employee_count,country,city,founded_year,company_age,gtm_score,gtm_band,demand_score,conversion_score,delivery_score,DEM-ICP-01,DEM-FIT-02,DEM-MSG-03,DEM-CHN-04,DEM-ATT-05,DEM-CNT-06,CON-SLA-01,CON-QLF-02,CON-STG-03,CON-OBJ-04,CON-WNL-05,CON-PGE-06,DEL-TTV-01,DEL-ONB-02,DEL-HLT-03,DEL-RET-04,DEL-QBR-05,DEL-ADV-06,follower_count,followers_per_employee,speciality_count,description_length,is_verified,has_tagline,has_website,page_verified
5166154,Rubicon Venture Capital,https://www.linkedin.com/company/rubicon-venture-capital/,http://www.rubicon.vc,Venture Capital and Private Equity Principals,10.0,US,New York City,2013.0,13.0,33.3,Foundations,40.1,30.2,25.9,3,2,2,2,1,2,1,2,2,1,2,1,1,1,1,1,2,2,8896,889.6,5,1911,0,0,1,False
6432327,Accelity,https://www.linkedin.com/company/accelitymarketing/,https://accelitymarketing.com/,Marketing Services,19.0,US,Milwaukee,2013.0,13.0,34.4,Foundations,39.6,33.3,26.4,2,1,3,3,1,2,1,2,2,1,2,2,1,1,2,1,1,2,6146,323.5,15,782,0,1,1,False
14484917,SOUKMEDIA,https://www.linkedin.com/company/soukmediaconsulting/,http://www.soukmedia.co,Marketing Services,19.0,US,Wilmington,2018.0,8.0,38.3,Foundations,49.0,33.6,26.4,2,1,4,4,1,3,1,2,3,1,2,1,1,1,2,1,1,2,6307,331.9,20,1585,0,1,1,False
24993091,Brian Martin UX Consulting,https://www.linkedin.com/company/brian-martin-ux-consulting/,https://brianmartinux.com,Business Consulting and Services,5.0,US,Denver,2021.0,5.0,32.0,Foundations,39.7,30.2,20.0,2,2,2,3,1,2,1,2,2,1,2,1,1,1,1,1,1,1,6302,1260.4,20,253,0,1,1,False
40914392,June.so,https://www.linkedin.com/company/juneso/,https://june.so,"Technology, Information and Internet",14.0,US,San Francisco,2021.0,5.0,30.7,Foundations,36.5,30.2,20.0,2,1,2,2,2,2,1,2,2,1,2,1,1,1,1,1,1,1,8745,624.6,0,207,0,1,1,False
18762883,AudiencePlus (acquired by TechnologyAdvice),https://www.linkedin.com/company/audienceplus/,https://solutions.technologyadvice.com/press/technologyadvice-acquires-the-juice/,"Technology, Information and Internet",4.0,US,Indianapolis,2022.0,4.0,33.1,Foundations,42.6,30.2,20.0,2,2,2,3,1,3,1,2,2,1,2,1,1,1,1,1,1,1,5216,1304.0,11,220,0,1,1,False
6632775,Wildcat Venture Partners,https://www.linkedin.com/company/wildcat-venture-partners/,http://www.wildcat.vc,Venture Capital and Private Equity Principals,10.0,US,San Mateo,2015.0,11.0,33.4,Foundations,43.2,30.2,20.0,3,1,3,3,1,2,1,2,2,1,2,1,1,1,1,1,1,1,5535,553.5,16,729,0,1,1,False
26485928,Geeks Of The Valley,https://www.linkedin.com/company/geeks-of-the-valley/,http://geeksofthevalley.com,Venture Capital and Private Equity Principals,1.0,US,Valley,2019.0,7.0,34.4,Foundations,45.8,30.2,20.0,2,2,2,4,1,3,1,2,2,1,2,1,1,1,1,1,1,1,4231,4231.0,23,770,0,1,1,False
3571291,FluoroFinder,https://www.linkedin.com/company/fluorofinder-com/,http://www.fluorofinder.com,Biotechnology Research,18.0,US,Broomfield,2008.0,18.0,28.8,Foundations,30.1,30.2,23.3,2,1,2,2,1,1,1,2,2,1,2,1,1,2,1,1,1,1,4979,276.6,13,731,0,1,1,False
94202072,Knoll Performance Marketing,https://www.linkedin.com/company/knoll-performance-marketing/,www.catherineknoll.com,Marketing Services,0.0,US,Memphis,,,43.2,Process & Response,57.2,32.5,36.7,3,2,4,2,4,2,1,1,1,2,2,3,2,1,2,2,2,2,2782,inf,5,1088,0,1,1,False
